Date,Time,Channel,BPM,Tower,Antenna,Power,L_ID,T_Lat,T_Long,T_N,T_E,EstAzimuth
4/21/2019,18:04:21,87,36.8,T1_02,1,149,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:04:23,87,36.8,T1_02,1,145,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:04:28,87,36.8,T1_02,2,125,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:04:29,87,36.8,T1_02,2,124,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:04:33,87,36.8,T1_02,3,118,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:04:34,87,36.8,T1_02,3,119,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:04:36,87,36.8,T1_02,3,122,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:04:39,87,36.8,T1_02,4,113,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:04:41,87,36.7,T1_02,4,107,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:04:42,87,36.8,T1_02,4,110,M2_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,18:17:09,87,36.7,T1_02,1,64,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:17:10,87,36.7,T1_02,1,63,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:17:12,87,36.7,T1_02,1,60,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:17:15,87,36.7,T1_02,2,93,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:17:17,87,36.6,T1_02,2,90,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:17:20,87,36.7,T1_02,3,74,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:17:22,87,36.7,T1_02,3,74,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:17:24,87,36.6,T1_02,3,76,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,18:17:33,87,36.6,T1_02,1,58,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:17:35,87,36.6,T1_02,1,60,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,18:17:38,87,36.6,T1_02,2,92,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:17:40,87,36.6,T1_02,2,95,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:17:42,87,36.6,T1_02,2,97,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,18:17:45,87,36.6,T1_02,3,72,M3_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
